id	title	kampfhandlungen	militaerische-unterstuetzung	verhandlungen	humanitaer-klima	humanitaer-hunger	humanitaer-krankheiten	humanitaer-flucht	humanitaer_Hilfe	wirtschaft
200	Wieder Luftangriffe im Jemen	4	1	0	0	0	0	0	0	0
201	Jemeniten freigelassen	1	0	2	0	0	0	0	0	0
203	Wirbelsturm bedroht Jemen und Oman	0	0	0	7	1	0	0	0	0
204	Nouripour fordert deutsche Vermittlung im Jemen	0	0	0	0	0	0	0	1	0
205	UN: Lage im Jemen dramatisch	1	0	0	0	0	4	0	0	0
206	Brüchige Waffenruhe im Jemen	0	1	1	0	1	0	0	1	0
207	UN: Jemen vor Zusammenbruch	0	0	1	0	1	0	0	0	0
208	UN: Jemen vor Zusammenbruch	0	0	1	0	1	0	0	0	0
209	Dutzende Tote im Jemen	1	0	1	0	0	0	0	0	0
210	Neue Waffenruhe in Kraft getreten	2	0	3	0	0	0	0	0	0
211	Waffenruhe für Jemen verkündet	0	1	2	0	0	0	0	0	0
212	Waffenruhe für den Jemen vereinbart	2	0	2	0	0	0	0	0	0
213	Angriffe auf Houthis im Jemen	1	2	0	0	0	0	0	0	0
214	Flucht in den Rausch	0	0	0	0	0	0	0	0	3
215	Fast 50 Tote im Jemen	1	0	0	0	0	0	0	0	0
216	Waffenruhe im Jemen	0	0	1	0	0	0	0	0	0
217	Feuerpause für den Jemen	0	0	3	0	0	0	0	0	0
218	Kindersoldaten im Jemen	0	0	0	0	1	0	0	0	0
219	IS-Anschläge: 45 Tote im Jemen	5	0	0	0	1	1	0	0	0
220	UN: Zu wenig Hilfe für Jemen	0	0	0	0	1	0	0	0	0
221	UN beklagt mangelnde Hilfsbereitschaft bei Hungerkrise in Jemen	0	0	1	0	0	0	0	1	0
222	Viele Tote bei Anschlag auf Armeeanwärter	3	0	0	0	0	0	0	0	0
223	Amerika schickt wieder Soldaten in den Jemen	2	2	1	0	0	0	0	0	0
224	Erfolg für Armee des Jemens	4	0	0	0	0	0	0	0	0
225	28 Tote bei Doppelanschlag in Jemen	7	0	0	0	1	0	0	0	0
226	IKRK-Helfer im Jemen getötet	1	0	0	0	0	0	0	0	0
227	Operation Sanaa	1	0	0	0	0	0	0	0	0
228	Tote bei Luftangriff im Jemen	3	0	0	0	0	1	0	0	0
229	Die Angst vor dem Sturm	1	0	0	0	0	0	0	0	0
230	Anschläge im Jemen	3	1	0	0	0	0	0	0	0
231	Noch lange nicht vorbei	1	0	1	0	0	0	0	0	0
232	Rüstungsgüter für 400 Millionen Euro an Jemen-Kriegsallianz	1	4	0	0	0	0	0	0	0
233	Ramstein vor Gericht	0	0	0	0	0	0	1	0	0
234	Der Kampf an der zweiten Front	1	0	0	0	0	0	0	1	0
235	UN-Generalsekretär verurteilt Angriff auf Schulbus	3	0	0	0	0	0	0	0	0
236	Viele tote Kinder bei Angriff im Jemen	2	0	0	0	0	0	0	0	0
237	Dutzende Tote bei Luftangriff auf Schulbus	4	0	0	0	0	0	0	0	0
238	Die Ausweitung der Schweigezone	0	1	0	0	0	0	0	0	0
239	Verletzte Houthis dürfen Jemen verlassen	0	0	1	0	0	0	0	0	0
240	Senat stellt Trumps Saudi-Arabien-Politik infrage	0	2	0	0	0	0	0	0	0
241	Houthi wollen Angriffe im Jemen einstellen	2	0	1	0	0	0	0	0	0
242	Houthis stoppen Raketenangriffe	2	0	0	0	0	0	0	0	0
243	Saudi-Arabien verzichtet auf Hilfe der amerikanischen Luftwaffe	0	2	1	0	0	0	0	0	0
244	Huthi-Rebellen greifen Ziele in Saudi-Arabien an	1	0	0	0	0	0	0	0	0
245	Der Jemen am Abgrund	2	0	0	0	0	0	0	0	0
246	Demonstration im Jemen	0	1	0	0	0	0	0	0	0
247	Der Jemen am Abgrund	2	0	0	0	0	0	0	0	0
248	Saudi-Arabien fängt Raketen aus dem Jemen ab	2	0	0	0	1	0	0	0	0
249	Ein Kronprinz, zwei Amerikas	0	1	0	0	0	0	0	0	0
250	Bröckelnde Macht	2	0	0	0	0	0	0	0	0
251	Tote Flüchtlinge vor Jemens Küste	0	0	0	0	0	0	6	0	0
